timestamp,container,cpu_percent,mem_usage
1765122043.2931125,vm3,52.26,2.094MiB / 512MiB
1765122043.2931125,vm2,53.87,5.051MiB / 512MiB
1765122043.2931125,vm1,50.11,6.215MiB / 512MiB
1765122043.2931125,vm4,73.37,2.688MiB / 512MiB
1765122043.2931125,vm5,82.98,3.664MiB / 512MiB
1765122046.4074295,vm3,63.71,2.133MiB / 512MiB
1765122046.4074295,vm2,59.71,5.074MiB / 512MiB
1765122046.4074295,vm1,50.11,6.215MiB / 512MiB
1765122046.4074295,vm4,75.59,5.48MiB / 512MiB
1765122046.4074295,vm5,99.66,3.789MiB / 512MiB
1765122049.5438237,vm3,68.92,4.797MiB / 512MiB
1765122049.5438237,vm2,60.25,5.043MiB / 512MiB
1765122049.5438237,vm1,47.43,6.445MiB / 512MiB
1765122049.5438237,vm4,78.48,5.301MiB / 512MiB
1765122049.5438237,vm5,100.18,3.891MiB / 512MiB
1765122052.689493,vm3,70.43,4.859MiB / 512MiB
1765122052.689493,vm2,59.46,5.059MiB / 512MiB
1765122052.689493,vm1,49.96,6.211MiB / 512MiB
1765122052.689493,vm4,71.10,6.117MiB / 512MiB
1765122052.689493,vm5,87.94,4.055MiB / 512MiB
1765122055.8101256,vm3,70.26,4.66MiB / 512MiB
1765122055.8101256,vm2,59.23,5.039MiB / 512MiB
1765122055.8101256,vm1,50.53,7.078MiB / 512MiB
1765122055.8101256,vm4,79.92,5.352MiB / 512MiB
1765122055.8101256,vm5,83.99,4.781MiB / 512MiB
1765122058.9370043,vm3,68.91,4.668MiB / 512MiB
1765122058.9370043,vm2,60.33,5.039MiB / 512MiB
1765122058.9370043,vm1,49.74,6.219MiB / 512MiB
1765122058.9370043,vm4,80.07,5.438MiB / 512MiB
1765122058.9370043,vm5,99.62,3.777MiB / 512MiB
1765122061.9693244,vm3,70.08,4.637MiB / 512MiB
1765122061.9693244,vm2,60.30,5.039MiB / 512MiB
1765122061.9693244,vm1,49.54,6.219MiB / 512MiB
1765122061.9693244,vm4,73.57,6.141MiB / 512MiB
1765122061.9693244,vm5,100.08,3.93MiB / 512MiB
1765122065.093052,vm3,69.96,4.637MiB / 512MiB
1765122065.093052,vm2,59.78,5.039MiB / 512MiB
1765122065.093052,vm1,50.62,7.141MiB / 512MiB
1765122065.093052,vm4,80.35,5.461MiB / 512MiB
1765122065.093052,vm5,99.81,3.781MiB / 512MiB
1765122068.2210395,vm3,68.90,7.34MiB / 512MiB
1765122068.2210395,vm2,56.34,5.297MiB / 512MiB
1765122068.2210395,vm1,50.05,6.219MiB / 512MiB
1765122068.2210395,vm4,0.00,2.812MiB / 512MiB
1765122068.2210395,vm5,99.80,3.668MiB / 512MiB
1765122071.2637806,vm3,69.89,4.641MiB / 512MiB
1765122071.2637806,vm2,60.69,5.047MiB / 512MiB
1765122071.2637806,vm1,49.64,6.219MiB / 512MiB
1765122071.2637806,vm4,80.22,5.332MiB / 512MiB
1765122071.2637806,vm5,99.76,3.668MiB / 512MiB
1765122074.385481,vm3,70.30,4.641MiB / 512MiB
1765122074.385481,vm2,59.25,5.191MiB / 512MiB
1765122074.385481,vm1,50.28,6.477MiB / 512MiB
1765122074.385481,vm4,80.15,5.297MiB / 512MiB
1765122074.385481,vm5,99.76,3.902MiB / 512MiB
1765122077.5167043,vm3,70.70,5.391MiB / 512MiB
1765122077.5167043,vm2,60.21,5.078MiB / 512MiB
1765122077.5167043,vm1,51.10,6.219MiB / 512MiB
1765122077.5167043,vm4,0.00,2.656MiB / 512MiB
1765122077.5167043,vm5,88.83,1.066MiB / 512MiB
1765122080.5447936,vm3,69.26,4.895MiB / 512MiB
1765122080.5447936,vm2,59.91,5.078MiB / 512MiB
1765122080.5447936,vm1,49.34,6.219MiB / 512MiB
1765122080.5447936,vm4,0.00,2.637MiB / 512MiB
1765122080.5447936,vm5,0.00,1.008MiB / 512MiB
1765122083.6727638,vm3,70.30,4.895MiB / 512MiB
1765122083.6727638,vm2,0.00,2.473MiB / 512MiB
1765122083.6727638,vm1,49.79,6.219MiB / 512MiB
1765122083.6727638,vm4,0.00,2.637MiB / 512MiB
1765122083.6727638,vm5,0.00,1.008MiB / 512MiB
